id_cliente,nombre,email,telefono,direccion,riesgo_acumulado,rol,id_transaccion,monto,pais_origen,pais_destino,banco_destino,id_alerta,descripcion_alerta,fecha_creacion_alerta,nivel_severidad,resuelta,tipo_usuario,direccion_ip,tipo_conexion
e18a4fe2-f52d-42c4-a1b7-a664e2431502,Carlos Pérez,carlos.pérez@example.com,502-55000000,"Zona 1, Ciudad de Guatemala",7.34,Cliente,ce7d78b7-0131-4fa2-8054-c2d0eb06a454,3197.67,Guatemala,Panamá,BI,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.178.130,VPN
27ab8f47-87f3-4e38-b2a7-c5e993bff173,Ana Rodríguez,ana.rodríguez@example.com,502-55000001,"Zona 2, Ciudad de Guatemala",2.71,Cliente,b39fcb7f-ed2b-405d-b00c-402117c76b9d,532.16,Guatemala,EE.UU.,BI,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.238.214,WiFi
3fe018c8-6dfc-4076-bf56-7f7db8a790e4,Luis Gómez,luis.gómez@example.com,502-55000002,"Zona 3, Ciudad de Guatemala",3.21,Cliente,e360fca8-2c5d-4aee-ab77-f8ffa93cb6ca,7910.39,Guatemala,España,BI,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.12.21,Datos móviles
6d866581-9736-4745-8ab5-8632cb785616,María Fernández,maría.fernández@example.com,502-55000003,"Zona 4, Ciudad de Guatemala",1.83,Cliente,dc5962dc-d80f-451c-a53c-12570300177b,3475.67,Guatemala,Panamá,Banrural,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.218.206,WiFi
ebe2ac10-92f9-436b-a57a-654610193d0e,Jorge Herrera,jorge.herrera@example.com,502-55000004,"Zona 5, Ciudad de Guatemala",4.91,Cliente,c51f6acc-be1f-4643-8ae5-0bd1a9ec2d57,4233.62,Guatemala,Colombia,BAC,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.245.250,Datos móviles
08c6af34-076f-4a28-adbe-098ab61fc760,Elena Martínez,elena.martínez@example.com,502-55000005,"Zona 6, Ciudad de Guatemala",3.27,Cliente,fe357617-c1d5-4440-a99a-a0a3c9bc0650,1107.41,Guatemala,Panamá,BI,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.79.166,VPN
7d6ec107-4af9-409d-bf73-971d218b37e3,Pedro Sánchez,pedro.sánchez@example.com,502-55000006,"Zona 7, Ciudad de Guatemala",9.79,Cliente,6d150b12-5616-4c86-bd1b-e1d6bd7c5a81,6094.97,Guatemala,España,BAC,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.56.254,WiFi
6eb628a5-c26c-4202-99cf-ed1dd3a4cde3,Gabriela López,gabriela.lópez@example.com,502-55000007,"Zona 8, Ciudad de Guatemala",1.69,Cliente,31171109-a1bd-4e0a-8c46-cb9ff19e13a2,5091.5,Guatemala,España,BAC,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.146.213,Datos móviles
314cd995-4721-4d34-879d-e98f1cb54a35,Ricardo Ramírez,ricardo.ramírez@example.com,502-55000008,"Zona 9, Ciudad de Guatemala",3.01,Cliente,5c5d522e-f768-4d1c-a4a1-2fb1c3dbac3a,5954.68,Guatemala,Panamá,G&T,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.177.195,Cable Ethernet
2b24d55a-625c-4309-a8f8-6853420e49c5,Sofía Méndez,sofía.méndez@example.com,502-55000009,"Zona 10, Ciudad de Guatemala",3.78,Cliente,8017ef79-ddcd-46df-a423-f635f9e9b70b,612.56,Guatemala,España,BI,N/A,Sin alerta,2025-02-28,0.0,False,Normal,192.168.78.37,Datos móviles
e18a4fe2-f52d-42c4-a1b7-a664e2431502,Carlos Pérez,carlos.pérez@example.com,502-55000000,"Zona 1, Ciudad de Guatemala",3.03,Cliente,5dbe84ec-7828-4e7a-95b3-68b960c46493,550.88,Guatemala,España,BI,8e8943c1-a07a-4ac8-8f22-d655e8a7349c,Fraude detectado,2025-02-28,4.0,True,Normal,192.168.57.217,WiFi
e18a4fe2-f52d-42c4-a1b7-a664e2431502,Carlos Pérez,carlos.pérez@example.com,502-55000000,"Zona 1, Ciudad de Guatemala",2.75,Cliente,3f4c6983-91d1-4c45-83d0-c4959ff39ec7,4398.83,Guatemala,México,BAC,8018708d-f9cb-40f1-b702-3d35a8753221,Transacción inusual,2025-02-28,2.0,False,Normal,192.168.11.53,WiFi
27ab8f47-87f3-4e38-b2a7-c5e993bff173,Ana Rodríguez,ana.rodríguez@example.com,502-55000001,"Zona 2, Ciudad de Guatemala",7.31,Cliente,013aa8fd-c756-476b-a150-b8bf7716bc9a,2107.47,Guatemala,Panamá,G&T,0e002f01-5987-4611-9289-15de489dab33,Alerta automática,2025-02-28,4.0,True,Normal,192.168.227.75,Cable Ethernet
27ab8f47-87f3-4e38-b2a7-c5e993bff173,Ana Rodríguez,ana.rodríguez@example.com,502-55000001,"Zona 2, Ciudad de Guatemala",3.84,Cliente,16414d26-2be6-44c5-bd95-bd4c078d91c6,4952.39,Guatemala,España,Banrural,975f0afd-527c-4b8b-af0f-a58ee63cd612,Alerta automática,2025-02-28,3.0,False,Normal,192.168.207.126,VPN
3fe018c8-6dfc-4076-bf56-7f7db8a790e4,Luis Gómez,luis.gómez@example.com,502-55000002,"Zona 3, Ciudad de Guatemala",1.87,Cliente,a90348d7-37e8-40c8-9dbe-68c49233e5de,770.57,Guatemala,México,G&T,4dfd56b4-1175-4ccd-982a-e5cfdb3ce4f1,Transacción inusual,2025-02-28,4.0,True,Normal,192.168.241.12,Datos móviles
3fe018c8-6dfc-4076-bf56-7f7db8a790e4,Luis Gómez,luis.gómez@example.com,502-55000002,"Zona 3, Ciudad de Guatemala",6.23,Cliente,f5144048-d84f-4fac-95e6-7a83dd09eaaa,514.4,Guatemala,EE.UU.,G&T,5a6cc964-4ca8-4cf5-b8f3-97d68d00e771,Fraude detectado,2025-02-28,1.0,False,Normal,192.168.46.193,Datos móviles
6d866581-9736-4745-8ab5-8632cb785616,María Fernández,maría.fernández@example.com,502-55000003,"Zona 4, Ciudad de Guatemala",7.59,Cliente,e5923684-5170-41a2-9528-dce6963691f6,590.42,Guatemala,España,G&T,7e5e4a2f-368a-41f2-8cd9-b7cea211783c,Fraude detectado,2025-02-28,2.0,True,Normal,192.168.150.169,Cable Ethernet
6d866581-9736-4745-8ab5-8632cb785616,María Fernández,maría.fernández@example.com,502-55000003,"Zona 4, Ciudad de Guatemala",7.69,Cliente,824e5949-1b20-4c82-8eca-930a1658908e,2260.01,Guatemala,México,G&T,79d839be-a8d7-46e3-b251-1acc34fce26d,Fraude detectado,2025-02-28,3.0,True,Normal,192.168.232.102,WiFi
ebe2ac10-92f9-436b-a57a-654610193d0e,Jorge Herrera,jorge.herrera@example.com,502-55000004,"Zona 5, Ciudad de Guatemala",5.37,Cliente,e728f038-7d87-43a8-9a9f-6b5cbdb6cee3,1187.34,Guatemala,EE.UU.,BAC,5ceb0f81-dbf0-4d32-a363-e9f5879e56e0,Transacción inusual,2025-02-28,4.0,True,Normal,192.168.63.135,WiFi
ebe2ac10-92f9-436b-a57a-654610193d0e,Jorge Herrera,jorge.herrera@example.com,502-55000004,"Zona 5, Ciudad de Guatemala",5.6,Cliente,ab4fec07-add9-46b1-930b-9c1b3abd4266,2757.75,Guatemala,México,BAC,eff5f8be-81d5-4209-8a1d-afa0efe08677,Transacción inusual,2025-02-28,4.0,False,Normal,192.168.186.38,Datos móviles
08c6af34-076f-4a28-adbe-098ab61fc760,Elena Martínez,elena.martínez@example.com,502-55000005,"Zona 6, Ciudad de Guatemala",9.8,Cliente,0161dfdc-6ca1-4614-85dd-d629ae0bb755,2353.54,Guatemala,EE.UU.,G&T,58e61d96-d7df-44c6-bfdf-3ac233932011,Transacción inusual,2025-02-28,4.0,True,Normal,192.168.174.73,WiFi
