id,nombre,fecha_nacimiento,email,telefono,direcciones,riesgo_acumulado,rol
947576b3-60ee-40eb-a0f0-4b8de1d53b0b,Sofia Garcia,1994-01-29,sofia.garcia@test.org,+26-996-2761618,"[""Av. Los Pinos 267""]",29.24,admin
a022456a-dcec-49ef-8108-a6779329cabb,Julio Garcia Salas,1955-08-27,julio.garcia.salas@test.org,+84-612-9426566,"[""Calle del Sol 257""]",71.42,admin
3e7feacb-2d1b-470e-9270-758a918da7f6,Cliente_0,1996-01-15,cliente_0@mail.com,+14-802-1772878,"[""Calle del Sol 38""]",97.72,regular
689b23f3-4292-43ec-9b8e-742fdc2e2fc9,Cliente_1,1979-10-02,cliente_1@mail.com,+29-700-4669350,"[""Av. Los Pinos 167""]",90.96,regular
578e027e-8838-4dc6-b065-399d09a5cb20,Cliente_2,1970-01-21,cliente_2@test.org,+95-117-6832190,"[""Av. Los Pinos 877""]",75.23,regular
5c6c6b6e-0c2f-464e-a828-ba289a797877,Cliente_3,1963-02-12,cliente_3@example.com,+44-216-3983545,"[""Av. Siempre Viva 859""]",67.01,regular
c84adc06-0366-4407-a5fe-a96c173d1ba5,Cliente_4,1997-08-07,cliente_4@example.com,+39-867-8686917,"[""Calle Falsa 737""]",62.15,regular
612a421a-0ed4-4be8-837b-babe9421d42a,Cliente_5,1974-10-08,cliente_5@mail.com,+70-139-4567907,"[""Calle del Sol 7""]",75.5,regular
ba20a772-88f7-403d-882e-5d671455566c,Cliente_6,1999-11-20,cliente_6@mail.com,+71-136-8538963,"[""Av. Los Pinos 235""]",85.24,regular
92e0eb6d-bc14-43e4-8826-d3ed93a7aef3,Cliente_7,1992-02-29,cliente_7@test.org,+54-602-5869419,"[""Av. Los Pinos 370""]",34.27,regular
9fab4ce7-9320-47cc-8acc-22dcfbb3fe51,Cliente_8,2000-11-26,cliente_8@test.org,+98-993-3073090,"[""Calle Falsa 611""]",35.68,regular
4f3d09f7-0a23-4f9e-8ba8-ea46ad255557,Cliente_9,1957-02-07,cliente_9@example.com,+11-338-5766579,"[""Calle Falsa 543""]",25.86,regular
2b16b9d7-e3e7-40ed-bc97-d070a7494a99,Cliente_10,1962-10-07,cliente_10@test.org,+77-639-7879383,"[""Calle del Sol 66""]",13.76,regular
1fba30c9-d26a-43a5-af03-1f74a97b8886,Cliente_11,1973-04-17,cliente_11@example.com,+71-386-7207611,"[""Calle Falsa 552""]",22.18,regular
ffa44012-5bf9-485f-be06-33527ee7a3d1,Cliente_12,1991-11-15,cliente_12@mail.com,+54-414-9350771,"[""Av. Los Pinos 185""]",54.44,regular
3cd92c76-3e84-48d7-9f83-02f20f0bf568,Cliente_13,1960-10-03,cliente_13@example.com,+2-179-3518152,"[""Av. Siempre Viva 804""]",9.36,regular
11c99d90-7e23-4986-8e2d-ebddb5b4a962,Cliente_14,1964-09-22,cliente_14@test.org,+48-511-8903923,"[""Calle Falsa 566""]",59.22,regular
354b3129-2d35-4512-a043-6a8b357213ba,Cliente_15,1962-08-08,cliente_15@example.com,+26-559-3200574,"[""Calle Falsa 396""]",76.06,regular
8668b4a4-5d16-41dc-bcdb-b4f71f64109e,Cliente_16,1952-12-27,cliente_16@mail.com,+79-401-7881017,"[""Calle Falsa 752""]",76.44,regular
a762758b-e6dd-4dbb-986e-fee022fdad8b,Cliente_17,1966-03-07,cliente_17@example.com,+2-937-2068089,"[""Calle del Sol 726""]",30.06,regular
7de4d558-349c-4e79-9363-a69515698410,Cliente_18,1968-04-24,cliente_18@mail.com,+25-448-3672209,"[""Calle del Sol 84""]",36.01,regular
07ee238c-a48c-4963-a1b2-b962b3624777,Cliente_19,1973-11-06,cliente_19@example.com,+56-743-8513273,"[""Av. Los Pinos 34""]",51.76,regular
0c05a586-3afb-4820-840c-dc3787f05dc4,Cliente_20,1957-12-15,cliente_20@example.com,+47-421-4984509,"[""Calle del Sol 317""]",97.85,regular
b64f8833-b743-43c4-a5a7-917fbd2910ab,Cliente_21,1989-08-26,cliente_21@test.org,+84-304-7795247,"[""Calle Falsa 68""]",31.2,regular
2ba14a1c-8d9e-4806-b274-338370e34954,Cliente_22,1986-07-22,cliente_22@example.com,+9-401-5145231,"[""Av. Los Pinos 619""]",47.88,regular
e26ab639-6366-44b2-930f-3173c79762ca,Cliente_23,1981-06-13,cliente_23@example.com,+76-912-5086814,"[""Calle Falsa 48""]",78.82,regular
c524d3ab-7d77-42c2-806c-3d256e34390a,Cliente_24,1977-02-22,cliente_24@test.org,+1-957-2346388,"[""Calle del Sol 560""]",23.06,regular
0d2c444f-c174-4702-8d48-b3fab69b43d0,Cliente_25,1981-01-28,cliente_25@example.com,+20-787-8743122,"[""Av. Los Pinos 250""]",68.86,regular
1c8f77cb-4ba8-45fb-afb4-f6a003991f71,Cliente_26,1994-09-21,cliente_26@test.org,+94-354-8081057,"[""Calle Falsa 274""]",66.65,regular
0900047d-7c7f-402b-ab7d-961f05ed72f1,Cliente_27,1996-05-18,cliente_27@test.org,+71-125-5957029,"[""Av. Siempre Viva 628""]",61.34,regular
9a39dcf3-bbb0-46ae-99b8-4732797b5259,Cliente_28,1981-10-30,cliente_28@mail.com,+76-943-3152012,"[""Calle Falsa 549""]",72.49,regular
43a59ac3-7bc9-46e7-86f5-6773c0ee588e,Cliente_29,1989-10-26,cliente_29@test.org,+99-492-9559445,"[""Av. Siempre Viva 72""]",32.9,regular
b46c1b93-c3a0-49b9-a08b-f28cc4890c84,Cliente_30,2000-07-28,cliente_30@example.com,+48-837-4405467,"[""Calle Falsa 910""]",31.33,regular
15abe091-8fc3-4ceb-abe7-0e781de120c4,Cliente_31,1982-09-03,cliente_31@mail.com,+71-407-9359153,"[""Calle del Sol 34""]",57.69,regular
551fa225-47b2-4320-8d71-86bd3621f6c1,Cliente_32,1990-12-03,cliente_32@example.com,+37-870-9062266,"[""Calle del Sol 332""]",41.53,regular
247d8330-77b4-466d-8785-af167e84d8bb,Cliente_33,1979-01-18,cliente_33@test.org,+59-621-5761193,"[""Calle Falsa 258""]",29.06,regular
945a1ce6-31a2-4dc2-952d-f8efffba8863,Cliente_34,1989-01-08,cliente_34@test.org,+50-346-8051074,"[""Calle del Sol 898""]",30.57,regular
d0317942-349f-4e6b-a598-75b283aee13b,Cliente_35,1963-07-08,cliente_35@example.com,+36-637-9232833,"[""Calle Falsa 363""]",39.6,regular
a3db9d01-09cf-4580-bbc6-3aa990666786,Cliente_36,1998-11-11,cliente_36@example.com,+89-513-8830830,"[""Calle Falsa 506""]",57.43,regular
bcebc0ae-d1cc-4ca2-94cd-6454229a079f,Cliente_37,1993-10-16,cliente_37@example.com,+22-989-3760352,"[""Calle del Sol 85""]",11.25,regular
82cc109b-94c6-42a2-9719-4e2e9f997ad3,Cliente_38,1992-10-17,cliente_38@mail.com,+85-886-1558480,"[""Calle del Sol 159""]",88.87,regular
c1e5cb29-d279-4496-bff3-5abc399e1398,Cliente_39,1968-09-05,cliente_39@mail.com,+17-218-3821562,"[""Calle Falsa 574""]",80.81,regular
d157616f-d372-4c28-8ed1-033c67b24b67,Cliente_40,1999-08-07,cliente_40@test.org,+36-557-4387740,"[""Av. Los Pinos 501""]",0.38,regular
e22185c5-0a19-44a1-b35c-e924f0ca0f58,Cliente_41,1960-05-11,cliente_41@mail.com,+28-279-1727605,"[""Calle Falsa 805""]",18.4,regular
165634ef-c953-4f39-a939-acc234aab1e2,Cliente_42,1996-12-18,cliente_42@mail.com,+75-668-5443950,"[""Av. Los Pinos 315""]",50.11,regular
62340e0d-735c-4fde-8b41-27dda2ec1929,Cliente_43,1966-11-24,cliente_43@test.org,+12-439-3487544,"[""Av. Siempre Viva 763""]",16.0,regular
c72f67e0-5c6d-4f7e-94ef-30223b3f0b37,Cliente_44,1981-07-09,cliente_44@mail.com,+33-569-6784290,"[""Calle del Sol 365""]",77.33,regular
4f673813-a991-45d6-be26-4106b12fe2a2,Cliente_45,1969-02-17,cliente_45@mail.com,+82-796-9184807,"[""Calle Falsa 53""]",70.72,regular
e22376b9-71e0-4fd9-a693-99a3629bd734,Cliente_46,1984-09-08,cliente_46@example.com,+5-408-7027375,"[""Av. Los Pinos 270""]",98.95,regular
aea478dc-9735-41c9-90f4-3cfaae57a0ff,Cliente_47,1950-03-27,cliente_47@example.com,+35-822-2959097,"[""Calle Falsa 905""]",63.06,regular
a421fe00-d794-468c-b4eb-e81dddfd3ea6,Cliente_48,1979-03-26,cliente_48@test.org,+89-110-4710315,"[""Calle del Sol 95""]",82.6,regular
7d5a6bce-992d-4d5b-a438-914ea1a60ab2,Cliente_49,1997-04-13,cliente_49@example.com,+30-912-6642114,"[""Av. Siempre Viva 457""]",8.67,regular
30f2d998-122d-405d-8bac-ae71dcff4f17,Cliente_50,1991-11-21,cliente_50@example.com,+47-966-2573492,"[""Av. Siempre Viva 40""]",98.33,regular
123d74b7-f1e3-4688-b4f4-107f2e2b2bac,Cliente_51,1959-01-09,cliente_51@test.org,+49-256-6590219,"[""Av. Siempre Viva 710""]",24.24,regular
94715b0d-4ae0-460e-97c3-a4da8751c651,Cliente_52,1975-07-22,cliente_52@test.org,+47-257-9716630,"[""Calle del Sol 53""]",86.52,regular
64893d83-5d1c-4d73-a6aa-995734987fd6,Cliente_53,1955-08-26,cliente_53@test.org,+30-566-2181285,"[""Calle del Sol 104""]",95.06,regular
e9008347-2e54-46cc-aca6-b33f4e05d9c2,Cliente_54,1957-04-21,cliente_54@example.com,+43-585-6468444,"[""Calle del Sol 441""]",37.22,regular
6ab4938f-c71a-4f22-aa65-b7c21309387e,Cliente_55,1952-09-04,cliente_55@example.com,+53-847-7151776,"[""Calle del Sol 223""]",54.33,regular
171f73fa-d67c-422b-bb9c-3d35ba35d8c9,Cliente_56,1998-11-21,cliente_56@test.org,+22-635-9137656,"[""Av. Los Pinos 727""]",53.58,regular
e36c68fa-e02a-4757-b09f-f385a0191bec,Cliente_57,1965-01-29,cliente_57@test.org,+54-859-7620664,"[""Calle Falsa 473""]",18.67,regular
d65443ec-640a-4f9c-bc58-532ad964b124,Cliente_58,1963-10-18,cliente_58@example.com,+50-677-8895515,"[""Av. Siempre Viva 841""]",61.47,regular
e7d4d58c-e6db-4f2d-a033-34100a24b0ce,Cliente_59,1962-09-05,cliente_59@example.com,+57-761-5472821,"[""Calle del Sol 452""]",10.05,regular
11812702-636d-4357-a584-027fd422b7e6,Cliente_60,1977-05-23,cliente_60@test.org,+81-622-4844530,"[""Av. Los Pinos 411""]",83.79,regular
abdb6ada-d311-45d8-9823-6c36e1bb718a,Cliente_61,1981-02-04,cliente_61@test.org,+39-814-6854039,"[""Calle Falsa 292""]",84.89,regular
7b167f00-1f13-428b-a8e1-1d9d3a5e8419,Cliente_62,1972-05-31,cliente_62@test.org,+55-684-1803646,"[""Calle del Sol 105""]",0.29,regular
74a974b3-4d70-4d5f-abe6-132f0632215e,Cliente_63,1972-05-26,cliente_63@mail.com,+1-415-7793729,"[""Calle del Sol 895""]",72.89,regular
54e94c65-72a4-45d6-a296-84ec4c5853c4,Cliente_64,1952-01-13,cliente_64@mail.com,+63-724-5732102,"[""Calle Falsa 515""]",96.93,regular
0b6bce98-8306-4e48-be02-ff1022ad61c0,Cliente_65,1953-10-08,cliente_65@example.com,+72-568-2353318,"[""Calle Falsa 98""]",24.96,regular
751bc7c9-c6ac-4f73-b007-8d4299bc4f4b,Cliente_66,1994-08-24,cliente_66@mail.com,+82-398-6761177,"[""Calle Falsa 860""]",77.96,regular
1a8a8612-c172-4035-b8ff-46447d2a31a0,Cliente_67,1966-05-21,cliente_67@example.com,+62-788-4654843,"[""Av. Siempre Viva 742""]",93.95,regular
2b22e777-0fc1-4822-88a7-b9d335423e4c,Cliente_68,1986-07-27,cliente_68@test.org,+45-593-1657161,"[""Av. Los Pinos 780""]",84.68,regular
46123e48-37c2-4923-939a-6ec930117c43,Cliente_69,1989-11-20,cliente_69@example.com,+45-844-8212222,"[""Av. Los Pinos 794""]",46.77,regular
f9d59a93-28ba-42cf-8480-448de203de39,Cliente_70,1988-10-20,cliente_70@example.com,+49-994-9772105,"[""Calle del Sol 533""]",14.24,regular
01ab08b2-ba1b-4478-abee-72bac099baae,Cliente_71,1989-07-19,cliente_71@example.com,+79-466-3260304,"[""Calle del Sol 523""]",48.16,regular
f1e7d042-4b22-480d-9207-be91ec89fad2,Cliente_72,1988-12-13,cliente_72@test.org,+65-171-5130536,"[""Calle del Sol 11""]",43.9,regular
340dd936-32ac-45d3-ab1e-05f44e4ccfcc,Cliente_73,1964-11-14,cliente_73@example.com,+17-571-3522872,"[""Calle Falsa 213""]",21.27,regular
d7189ba8-ad35-463d-b948-61472565fd3a,Cliente_74,1962-08-11,cliente_74@test.org,+87-259-3696189,"[""Av. Los Pinos 321""]",69.72,regular
e841c85f-d535-414f-b1f6-e0e356063604,Cliente_75,1963-08-05,cliente_75@test.org,+59-344-9265838,"[""Av. Siempre Viva 98""]",95.24,regular
954a29f5-aa85-4c46-be1b-4753054b5612,Cliente_76,1977-06-26,cliente_76@example.com,+3-359-9523645,"[""Calle Falsa 617""]",2.98,regular
3159ff2b-2106-43fc-bd21-1c40b4356a3e,Cliente_77,1962-08-30,cliente_77@example.com,+26-132-7115957,"[""Calle del Sol 501""]",55.36,regular
8f21da0d-63a7-4824-9efa-5a2fe82d6314,Cliente_78,2000-07-29,cliente_78@test.org,+4-117-2582476,"[""Av. Siempre Viva 674""]",27.08,regular
ac930359-9138-47d1-937a-4cc4ac08996b,Cliente_79,1995-03-17,cliente_79@example.com,+77-806-3470385,"[""Av. Los Pinos 209""]",25.4,regular
92cfb01d-7564-416b-82ab-ce612c6dd1a8,Cliente_80,1991-02-16,cliente_80@test.org,+77-482-3479647,"[""Av. Siempre Viva 58""]",40.12,regular
3778de56-b93a-44bb-a115-a276cbd460e7,Cliente_81,1978-12-18,cliente_81@example.com,+38-186-8842725,"[""Calle del Sol 163""]",10.65,regular
4ff3cb58-be94-47fb-8bab-81a408e0a931,Cliente_82,1960-04-21,cliente_82@example.com,+61-800-2049566,"[""Calle del Sol 94""]",1.82,regular
714b516a-115d-4e45-8ecd-8fdbc0a35d03,Cliente_83,1992-03-21,cliente_83@mail.com,+50-693-8887108,"[""Av. Siempre Viva 928""]",23.59,regular
0516af98-4b0a-4ce8-8d2e-cc9379c7cc28,Cliente_84,1988-08-08,cliente_84@example.com,+4-497-7327547,"[""Av. Siempre Viva 732""]",71.65,regular
420fe827-db0c-4238-a853-fb81861d0985,Cliente_85,1996-01-17,cliente_85@test.org,+80-497-6998276,"[""Calle Falsa 705""]",1.62,regular
e832abb7-24e3-4ab8-bcb3-7ef9df3b391a,Cliente_86,1978-10-31,cliente_86@mail.com,+75-970-4721560,"[""Calle Falsa 330""]",23.0,regular
96937a64-a949-4e3c-a0de-968bb5080fcf,Cliente_87,1996-08-10,cliente_87@mail.com,+31-717-2563236,"[""Av. Siempre Viva 688""]",25.53,regular
0f47c58f-c419-4523-a07f-d4202fe0c038,Cliente_88,1980-01-04,cliente_88@example.com,+33-568-9386222,"[""Calle del Sol 425""]",36.61,regular
e2895e9f-46aa-40a8-966f-a1f3c72403e3,Cliente_89,1979-09-26,cliente_89@mail.com,+40-858-7437344,"[""Calle Falsa 905""]",17.3,regular
f555c627-831f-4e44-b2ec-d931673c5a5c,Cliente_90,1956-02-24,cliente_90@test.org,+47-843-9456228,"[""Av. Los Pinos 670""]",42.56,regular
2716e3e4-57c2-41f4-9e07-498341402cb0,Cliente_91,1955-06-13,cliente_91@test.org,+95-918-9841439,"[""Calle Falsa 373""]",1.38,regular
d28a8bd1-3b31-4827-8a3f-8dcfc50f47a4,Cliente_92,1982-05-16,cliente_92@mail.com,+97-805-8655304,"[""Calle del Sol 29""]",92.43,regular
8717935e-ea4a-40a4-8dad-d2bf3c5ad60c,Cliente_93,1963-11-09,cliente_93@example.com,+96-837-3315749,"[""Av. Los Pinos 447""]",34.94,regular
afcd73c6-c211-4ff7-bea2-d98d0f6286ed,Cliente_94,1985-09-02,cliente_94@mail.com,+53-111-4756170,"[""Av. Los Pinos 597""]",11.52,regular
3bd67619-c35f-42a7-be88-9bdae4d6cc87,Cliente_95,1996-03-21,cliente_95@example.com,+64-474-8390636,"[""Calle Falsa 82""]",65.19,regular
a802eeaf-505e-4029-bbd2-65ca3876b1df,Cliente_96,1996-01-13,cliente_96@test.org,+36-123-8257671,"[""Av. Siempre Viva 581""]",36.94,regular
381fd459-d1fa-4e98-9c01-190ee459df37,Cliente_97,1954-12-09,cliente_97@mail.com,+94-620-1032641,"[""Av. Los Pinos 3""]",56.85,regular
7f7310c7-77e9-4ef6-a9d9-6e31b746e49b,Cliente_98,1970-01-17,cliente_98@test.org,+64-233-3597419,"[""Calle Falsa 9""]",89.76,regular
